Type	Part Number	Brand	Model	Rank	Score	Samples	URL	Name	Codename	Cores	Socket	Process	Clock	Multi	Cache L1/L2/L3	TDP	Released	Price	
CPU		AMD	Athlon 64 3800+	876	12.2	88	http://cpu.userbenchmark.com/SpeedTest/2391/AMD-Athlontm-64-Processor-3800-	Athlon 64 3800+	Windsor	1 	AMD Socket AM2	90 nm	2400&nbsp;MHz	12.0x	128K / 512K / 0K	62W	Feb 2007		
CPU		Intel	Celeron N2820	877	12.2	418	http://cpu.userbenchmark.com/SpeedTest/5994/IntelR-CeleronR-CPU--N2820----213GHz	Celeron N2820	Bay Trail-M	2 	Intel BGA1170	22 nm	2170&nbsp;MHz	0.0x	56K / 512K / 0K	7W	Dec 2013	1538	
CPU		AMD	Turion II Neo N40L	878	12.1	46	http://cpu.userbenchmark.com/SpeedTest/7/AMD-Turiontm-II-Neo-N40L-Dual-Core-Processor												
CPU		Intel	Pentium Dual T2390	879	12.1	306	http://cpu.userbenchmark.com/SpeedTest/2090/IntelR-PentiumR-Dual--CPU--T2390----186GHz											8899	
CPU		AMD	Athlon 64 3400+	880	12	22	http://cpu.userbenchmark.com/SpeedTest/1056/AMD-Athlontm-64-Processor-3400-	Athlon 64 3400+	Newark	1 	AMD Socket 754	130 nm	2200&nbsp;MHz	11.0x	128K / 1024K / 0K	83W	Apr 2005		
CPU		Intel	Pentium 4 3.40GHz	881	12	402	http://cpu.userbenchmark.com/SpeedTest/293/--------------IntelR-PentiumR-4-CPU-340GHz												
CPU		Intel	Celeron N2830	882	11.9	2094	http://cpu.userbenchmark.com/SpeedTest/12104/IntelR-CeleronR-CPU--N2830----216GHz	Celeron N2830	Bay Trail-M	2 	Intel BGA1170	22 nm	2160&nbsp;MHz	0.0x	56K / 512K / 0K	7W	Feb 2014	1800	
CPU		AMD	Turion 64 X2 Mobile Technology TL-52	883	11.8	57	http://cpu.userbenchmark.com/SpeedTest/1892/AMD-Turiontm-64-X2-Mobile-Technology-TL-52												
CPU		Intel	T2600	884	11.8	56	http://cpu.userbenchmark.com/SpeedTest/4124/Genuine-IntelR-CPU-----------T2600----216GHz	Core Duo T2600	Yonah	2 	Intel Socket 479	65 nm	2166&nbsp;MHz	13.0x	64K / 2048K / 0K	31W	Jan 2006		
CPU		Intel	Core2 Duo T5550	885	11.8	385	http://cpu.userbenchmark.com/SpeedTest/1673/IntelR-CoreTM2-Duo-CPU-----T5550----183GHz												
CPU		Intel	Celeron 847	886	11.8	731	http://cpu.userbenchmark.com/SpeedTest/457/IntelR-CeleronR-CPU-847---110GHz	Celeron 847	Sandy Bridge	2 	Intel BGA1023	32 nm	1100&nbsp;MHz	11.0x	64K / 256K / 2048K	17W	Jun 2011	2210	
CPU		Intel	Pentium D 2.80GHz	887	11.6	1233	http://cpu.userbenchmark.com/SpeedTest/267/--------------IntelR-PentiumR-D-CPU-280GHz												
CPU		Intel	Celeron U3400	888	11.6	29	http://cpu.userbenchmark.com/SpeedTest/5136/IntelR-CeleronR-CPU--------U3400----107GHz												
CPU		Intel	Pentium Dual T2370	889	11.5	230	http://cpu.userbenchmark.com/SpeedTest/4795/IntelR-PentiumR-Dual--CPU--T2370----173GHz												
CPU		Intel	Pentium D 2.66GHz	890	11.4	173	http://cpu.userbenchmark.com/SpeedTest/4781/-------------IntelR-PentiumR-D--CPU-266GHz												
CPU		Intel	T2500	891	11.3	155	http://cpu.userbenchmark.com/SpeedTest/1958/Genuine-IntelR-CPU-----------T2500----200GHz	Core Duo T2500	Yonah	2 	Intel Socket 479	65 nm	1992&nbsp;MHz	12.0x	64K / 2048K / 0K	31W	Jan 2006		
CPU		AMD	Athlon 64 3500+	892	11.3	212	http://cpu.userbenchmark.com/SpeedTest/2498/AMD-Athlontm-64-Processor-3500-	Athlon 64 3500+	Windsor	1 	AMD Socket AM2	90 nm	2200&nbsp;MHz	11.0x	128K / 512K / 0K	62W	Feb 2007		
CPU		Intel	Core2 T5300	893	11.3	102	http://cpu.userbenchmark.com/SpeedTest/2288/IntelR-CoreTM2-CPU---------T5300----173GHz												
